region_id,date,num_businesses,restaurant_count,retail_count,industrial_activity_score
R001,2025-01-01,144,72,111,75.99066270265793
R001,2025-01-02,427,68,131,2.187265520839232
R001,2025-01-03,326,70,131,96.23594707232482
R001,2025-01-04,264,27,55,96.6408468289508
R001,2025-01-05,257,16,130,35.94914827259853
R001,2025-01-06,110,88,66,89.7646410730426
R001,2025-01-07,332,78,30,32.90452139231199
R001,2025-01-08,278,38,117,12.748132199188566
R001,2025-01-09,496,87,45,76.7874111431589
R001,2025-01-10,151,27,71,16.695376569012367
R001,2025-01-11,229,51,20,47.44310260516931
R001,2025-01-12,497,76,62,46.170165031467114
R001,2025-01-13,191,95,131,8.631931823317107
R001,2025-01-14,406,27,82,56.710757516427805
R001,2025-01-15,480,50,129,8.572468362015151
R001,2025-01-16,312,16,91,70.04578393439512
R001,2025-01-17,381,84,46,58.98845287188047
R001,2025-01-18,205,72,47,30.606323612202125
R001,2025-01-19,436,89,82,77.9979185620339
R001,2025-01-20,455,63,109,75.55519698357416
R001,2025-01-21,292,34,99,2.3317611262867577
R001,2025-01-22,134,13,20,20.677721794249848
R001,2025-01-23,240,50,36,25.895009301879057
R001,2025-01-24,334,43,142,73.7493077448838
R001,2025-01-25,453,85,130,15.747661014620007
R001,2025-01-26,116,93,145,82.23205163768151
R001,2025-01-27,262,94,85,73.73226533192883
R001,2025-01-28,410,99,47,4.525754674707216
R001,2025-01-29,466,18,67,19.13932437079543
R001,2025-01-30,143,24,144,39.76403383838243
R001,2025-01-31,97,72,94,74.62221991922121
R001,2025-02-01,408,35,111,49.68604804690231
R001,2025-02-02,346,31,99,3.479947306471265
R001,2025-02-03,172,54,62,56.98476458857068
R001,2025-02-04,186,83,130,61.7616106357559
R001,2025-02-05,225,33,34,5.544550885192279
R001,2025-02-06,264,80,130,92.15931775952177
R001,2025-02-07,231,96,65,25.39455780413775
R001,2025-02-08,72,59,115,47.931306960612986
R001,2025-02-09,242,60,142,29.430438600451915
R001,2025-02-10,198,92,54,2.7034479965853397
R001,2025-02-11,465,85,129,72.7488761368625
R001,2025-02-12,414,61,47,22.62091890268525
R001,2025-02-13,203,25,58,75.16672459316139
R001,2025-02-14,82,66,90,51.32139192504561
R001,2025-02-15,237,34,143,63.43476371651933
R001,2025-02-16,442,79,114,9.181537615790091
R001,2025-02-17,130,80,70,39.24545217380131
R001,2025-02-18,119,56,126,70.54998387470009
R001,2025-02-19,479,10,40,8.888313978974892
R001,2025-02-20,56,58,90,70.04769940757309
R001,2025-02-21,177,40,88,93.8768563139283
R001,2025-02-22,56,15,123,38.48394607751351
R001,2025-02-23,170,69,75,0.6383422985458242
R001,2025-02-24,278,31,33,85.3634227709475
R001,2025-02-25,210,29,129,95.27213423177382
R001,2025-02-26,163,71,147,62.74783934374474
R001,2025-02-27,187,10,109,90.12915573548446
R001,2025-02-28,258,81,49,45.56613800705978
R001,2025-03-01,409,86,78,13.420513208586682
R001,2025-03-02,333,94,109,2.2977180523529483
R001,2025-03-03,224,61,75,28.796577145927603
R001,2025-03-04,351,24,130,42.4928787398869
R001,2025-03-05,71,83,37,91.12004059555578
R001,2025-03-06,70,92,60,71.35349250920129
R001,2025-03-07,303,47,143,96.79754642375411
R001,2025-03-08,416,90,52,10.9418959263197
R001,2025-03-09,233,58,97,91.92491606901991
R001,2025-03-10,337,21,129,66.9774197696814
R001,2025-03-11,209,73,33,76.74131838746379
R002,2025-01-01,420,48,45,51.32144786158528
R002,2025-01-02,213,76,22,30.955444094565287
R002,2025-01-03,464,45,97,6.711301693505645
R002,2025-01-04,375,48,146,79.30807783462014
R002,2025-01-05,359,38,110,47.76455013563985
R002,2025-01-06,326,84,147,33.5903879624496
R002,2025-01-07,84,95,136,75.8311927954907
R002,2025-01-08,255,39,136,36.487442120908064
R002,2025-01-09,72,35,27,35.81715280821609
R002,2025-01-10,303,41,98,71.38494504030282
R002,2025-01-11,219,37,107,93.66353802861032
R002,2025-01-12,303,88,143,57.95928381792389
R002,2025-01-13,73,50,118,67.2819715843807
R002,2025-01-14,399,64,149,85.23047756968027
R002,2025-01-15,379,99,32,32.72776413655948
R002,2025-01-16,374,62,43,74.13741097890471
R002,2025-01-17,432,61,104,62.52052703234475
R002,2025-01-18,174,23,92,89.65537788463078
R002,2025-01-19,300,42,74,68.56101298856684
R002,2025-01-20,475,41,57,9.25044993065882
R002,2025-01-21,207,47,30,33.83327972196815
R002,2025-01-22,248,42,33,45.34941449400331
R002,2025-01-23,439,85,141,31.661226508945816
R002,2025-01-24,249,17,25,23.1162232857396
R002,2025-01-25,357,19,108,78.30031969552917
R002,2025-01-26,267,31,52,59.79891454150249
R002,2025-01-27,387,65,113,24.32533620172046
R002,2025-01-28,459,26,56,57.13716856579519
R002,2025-01-29,405,72,28,53.620932597287606
R002,2025-01-30,90,31,111,55.917987655540514
R002,2025-01-31,231,48,149,53.49605685545349
R002,2025-02-01,365,95,144,77.89922860991172
R002,2025-02-02,382,88,64,69.36810498402085
R002,2025-02-03,488,68,87,68.69165204297562
R002,2025-02-04,457,52,30,84.14917002003217
R002,2025-02-05,424,71,71,17.851873999267088
R002,2025-02-06,400,99,56,19.17744695173742
R002,2025-02-07,176,93,139,89.14080036905507
R002,2025-02-08,263,29,130,76.35578171185378
R002,2025-02-09,473,28,22,83.27653989683841
R002,2025-02-10,241,63,70,62.464428892088264
R002,2025-02-11,467,12,121,37.12361207118341
R002,2025-02-12,88,93,71,41.44429696729011
R002,2025-02-13,288,87,25,7.0261390646500725
R002,2025-02-14,171,57,126,18.587036907858657
R002,2025-02-15,288,91,66,62.28363495187823
R002,2025-02-16,306,20,127,90.92371464207102
